Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
12/3/2019 6:46,5.6N,52.2W,61.5,,,,,4.20E+10,0.14
11/28/2019 20:30,35.7N,31.7W,35,13,-11.6,-2.5,-5.4,2.70E+10,0.095
11/28/2019 11:55,22.1S,25.7E,22.5,24.7,-22.8,-5.5,7.6,2.50E+10,0.089
11/5/2019 11:24,10.4S,143.3W,38,27.4,5.2,12.3,23.9,1.10E+11,0.33
10/22/2019 22:21,12.0N,76.0W,40.7,,,,,2.70E+10,0.095
10/10/2019 16:16,44.3N,122.9E,47.3,14.1,1.5,-12.9,-5.4,2.06E+11,0.57
9/28/2019 10:40,12.5S,107.2W,52,20.4,-10.1,11.2,13.7,2.30E+10,0.082
9/27/2019 13:35,25.7N,28.4W,,,,,,3.40E+10,0.12
9/14/2019 12:39,38.6S,33.5W,38,15.9,-12.9,8.1,4.6,1.09E+11,0.33
9/13/2019 2:02,18.6S,126.9E,27.4,13.5,5.2,-8.1,9.5,4.20E+10,0.14
9/12/2019 12:49,54.5N,9.2E,42,18.5,-18.1,-0.4,3.7,1.69E+11,0.48
9/12/2019 2:34,24.9N,47.8W,30.6,17.2,-11.7,11.7,4.6,5.90E+10,0.19
8/24/2019 12:02,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,4.00E+10,0.13
8/22/2019 21:47,24.4S,92.9W,30.2,,,,,2.00E+10,0.073
8/16/2019 20:36,38.9N,7.0E,36,14.9,-3.9,4,-13.8,2.50E+10,0.089
7/23/2019 20:42,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,2.55E+11,0.69
6/30/2019 16:52,21.2N,129.5W,59,42.3,25.2,31.2,-13.3,3.20E+10,0.11
6/30/2019 8:11,2.5S,168.7E,,,,,,2.10E+10,0.076
6/22/2019 21:25,14.9N,66.2W,25,14.9,-13.4,6,2.5,2.95E+12,6
6/20/2019 6:07,7.3N,67.6W,37,,,,,2.80E+10,0.098
5/26/2019 10:07,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,4.20E+10,0.14
5/25/2019 6:44,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,4.90E+10,0.16
5/22/2019 15:16,10.8N,37.3W,32.6,,,,,9.50E+10,0.29
5/21/2019 13:21,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,6.56E+11,1.6
5/19/2019 14:47,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,3.30E+10,0.11
5/12/2019 22:41,6.2N,57.1W,,,,,,2.10E+10,0.076
5/4/2019 15:35,28.4N,88.3W,26.5,,,,,2.20E+10,0.079
4/22/2019 21:42,48.8S,67.8E,33.3,11.4,3.4,-4.2,10,1.24E+11,0.37
4/14/2019 17:54,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,2.90E+10,0.1
4/6/2019 11:59,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,7.00E+10,0.22
4/4/2019 22:19,35.3N,93.9W,,,,,,2.80E+10,0.098
3/27/2019 12:50,41.8S,7.4W,,,,,,2.20E+10,0.079
3/19/2019 2:06,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,2.00E+10,0.073
3/15/2019 12:26,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,4.60E+10,0.15
2/18/2019 10:00,15.5S,25.3E,26,20.8,-16.6,-12.6,0.6,1.96E+12,4.2
2/1/2019 18:17,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,5.79E+11,1.4
1/22/2019 9:18,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5,3.60E+10,0.12
12/23/2018 23:38,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,8.90E+10,0.27
12/18/2018 23:48,56.9N,172.4E,26,13.6,6.3,-3,-31.2,3.13E+13,49
11/20/2018 17:30,25.3N,6.7W,27.4,17.4,-10.1,13.9,3,4.22E+11,1.1
11/17/2018 21:48,47.3N,172.9W,32.5,19.1,7.6,17.3,-2.7,2.20E+11,0.61
11/15/2018 8:02,42N,57W,,,,,,2.00E+10,0.073
11/14/2018 4:03,37.6S,83.5E,37,,,,,3.80E+10,0.13
10/24/2018 21:19,6.7S,148.6W,33.3,,,,,4.70E+10,0.16
10/5/2018 0:27,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,3.80E+10,0.13
9/25/2018 14:10,23.5S,56.8E,33,16.5,-16.2,2.8,0.6,8.06E+11,1.9
9/25/2018 0:16,34.3S,44.9E,40.7,12.5,-11,2.5,-5.5,5.30E+10,0.17
9/20/2018 18:29,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,8.30E+10,0.26
9/17/2018 1:08,6.8S,27.8W,,,,,,1.50E+11,0.43
9/13/2018 0:51,42.5N,50.1W,,,,,,4.20E+10,0.14
8/27/2018 4:36,1.7S,141.4E,33,16.1,9.8,-9.6,-8.4,2.40E+10,0.086
8/21/2018 12:26,39.2S,162.9W,37,,,,,2.20E+10,0.079
7/27/2018 9:35,58.8S,105.8E,32,,,,,1.05E+11,0.32
7/25/2018 21:55,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,8.77E+11,2.1
7/17/2018 15:17,82.5N,136.7W,,,,,,2.11E+11,0.59
6/26/2018 17:51,32.0N,12.1E,63,14.1,-10,-1,-9.9,2.90E+10,0.1
6/21/2018 1:16,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1.22E+12,2.8
6/2/2018 16:44,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,3.75E+11,0.98
5/12/2018 3:26,6.5S,173.7E,34,,,,,1.93E+11,0.54
5/8/2018 2:27,32N,60.7W,,,,,,7.30E+10,0.23
5/3/2018 7:23,46.9N,7.5W,39,11.5,1.3,-2.1,-11.2,3.80E+10,0.13
4/30/2018 13:17,45.5S,1.4W,34,13.1,8.7,-9.5,2.5,3.00E+10,0.1
4/21/2018 12:06,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,3.60E+10,0.12
4/19/2018 14:02,7.5N,3.6E,30,20.9,-9.1,-2.5,18.6,7.20E+10,0.23
4/19/2018 13:39,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,5.12E+11,1.3
4/7/2018 3:05,72.4N,78.7W,31.5,,,,,8.60E+10,0.27
2/21/2018 1:28,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,7.10E+10,0.22
2/15/2018 13:38,43.8S,1.1W,50.7,,,,,2.70E+10,0.095
2/12/2018 2:15,15.9S,58.9W,,,,,,3.90E+10,0.13
2/8/2018 22:21,42.9N,179.7E,43.5,,,,,2.59E+11,0.7
2/1/2018 12:21,19.4S,104.3E,37,16.5,8.1,-8.4,-11.7,1.90E+11,0.53
1/22/2018 22:06,14.0N,17.4W,,,,,,3.20E+10,0.11
1/15/2018 2:18,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,1.99E+11,0.56
1/6/2018 21:24,55.8N,52.5E,26,21,0.8,2.2,-20.9,2.80E+10,0.098
1/6/2018 18:24,39.5S,12.8E,26,,,,,3.60E+10,0.12
12/31/2017 9:36,63.5S,101.3W,64.5,,,,,4.40E+10,0.15
12/29/2017 12:47,14.6N,49.5W,38,,,,,1.10E+11,0.33
12/15/2017 13:14,60.2N,170.0E,20,31.4,27.8,-4.7,-13.9,3.11E+12,6.4
11/19/2017 4:17,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,2.80E+10,0.098
10/26/2017 22:05,21.3S,177.6E,42.5,,,,,5.58E+11,1.4
10/23/2017 15:31,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,2.40E+10,0.086
10/15/2017 4:33,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,3.30E+10,0.11
10/9/2017 12:51,18.3S,64.1W,,,,,,3.00E+10,0.1
10/4/2017 12:07,28.1N,99.4E,37,14.6,-8.5,-9,7.8,1.92E+11,0.54
9/5/2017 5:11,49.3N,116.9W,36,14.7,12.7,-6.1,-4.2,3.80E+10,0.13
7/31/2017 22:01,24.7N,118.5W,,,,,,5.80E+10,0.19
7/23/2017 6:12,6.6S,69.7W,38,17.2,-0.4,8.7,-14.8,3.50E+10,0.12
7/13/2017 9:30,23.1N,60.7E,35,13.7,-10,-6.5,-6.8,7.30E+10,0.23
6/30/2017 14:26,34.3S,134.5E,20,15.2,10.9,-9.7,4.2,9.40E+10,0.29
6/23/2017 20:21,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,1.84E+11,0.52
6/20/2017 13:41,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,6.36E+11,1.6
5/24/2017 7:03,9.1S,101.8E,46,18.4,-6.5,-16.5,-5,9.00E+10,0.28
5/22/2017 17:44,49.6S,157.6W,33,,,,,3.50E+10,0.12
5/14/2017 9:30,26.0S,32.4E,33,,,,,3.50E+10,0.12
4/30/2017 21:28,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,1.50E+11,0.43
3/11/2017 4:51,28.3N,60.2W,28,,,,,1.26E+12,2.9
3/9/2017 4:16,40.5N,18.0W,23,36.5,-15.3,25.8,-20.8,4.00E+11,1
3/8/2017 22:21,26.1S,174.9E,37,,,,,7.20E+10,0.23
2/25/2017 1:22,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,6.50E+10,0.21
2/22/2017 18:47,50.7S,66.0W,,,,,,3.80E+10,0.13
2/18/2017 19:48,6.2N,60.4E,38,24.2,-6.6,-22.7,-5.3,2.95E+11,0.79
2/7/2017 17:37,27.4S,14.8W,54,,,,,2.00E+10,0.073
2/6/2017 6:09,10.4N,131.6E,33.5,,,,,6.60E+10,0.21
12/23/2016 3:29,21.3N,49.3E,42,29.7,-22.4,16.4,-10.5,3.80E+10,0.13
12/7/2016 4:51,34.5S,126.6W,,,,,,1.17E+11,0.35
11/29/2016 8:05,30.6S,93.1W,,,,,,3.10E+10,0.11
11/24/2016 14:10,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,1.38E+11,0.4
11/3/2016 17:14,39.6S,16.3W,37,,,,,7.60E+10,0.24
10/1/2016 20:23,36.2N,6.7E,27.8,14.2,-10,3.9,-9.3,3.10E+10,0.11
9/22/2016 4:57,51.8S,178.5E,40,17.5,-2.5,-3.3,17,7.10E+10,0.22
9/14/2016 15:01,3.5S,44.6E,54,18.3,3.5,-16.2,7.7,7.60E+10,0.24
8/27/2016 21:45,56.9S,162.2E,42,,,,,1.42E+11,0.41
8/11/2016 5:59,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,1.84E+11,0.52
8/5/2016 18:02,46.4N,171.6E,32.4,,,,,1.21E+11,0.36
7/21/2016 0:48,7.8N,1.6W,37,,,,,4.50E+10,0.15
7/5/2016 1:24,1.0N,48.6E,38.2,25.1,-10.3,-2,-22.8,1.53E+11,0.44
6/27/2016 10:02,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,4.58E+11,1.2
