Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2/1/1999 14:24,80.0N,154.2E,,,,,,2.80E+10,0.098
1/19/1999 2:32,7.9N,85.8E,,,,,,2.40E+10,0.086
1/14/1999 8:06,44.0S,129.7W,32,,,,,5.06E+12,9.8
1/2/1999 18:25,47.0N,103.0E,65,,,,,3.50E+10,0.12
11/23/1998 20:20,82.3N,160.1E,,,,,,2.50E+10,0.089
11/11/1998 16:46,6.5N,156.4E,,,,,,6.56E+11,1.6
9/1/1998 11:15,34.6N,23.6E,,,,,,2.40E+10,0.086
3/22/1998 22:25,1.4N,26.6E,,,,,,1.40E+11,0.41
1/4/1998 23:00,35.1S,33.4E,30,17.1,6,-10.6,12,7.40E+10,0.23
12/28/1997 3:58,23.1S,152.4E,,,,,,3.10E+10,0.11
12/9/1997 8:15,62.7N,49.9W,,,,,,2.70E+11,0.73
11/7/1997 7:46,57.3S,167.2E,,,,,,8.00E+11,1.9
10/9/1997 18:47,31.8N,106.0W,37,,,,,1.90E+11,0.53
10/1/1997 14:26,46.7N,108.9E,,,,,,6.20E+10,0.2
9/30/1997 12:31,38.1S,63.9E,,,,,,2.30E+10,0.082
9/5/1997 11:41,31.1S,56.4E,,,,,,1.90E+11,0.53
7/4/1997 12:22,15.8S,175.8W,,,,,,2.70E+10,0.095
4/27/1997 22:34,16.7N,87.5E,,,,,,3.25E+11,0.86
2/19/1997 4:31,16.3S,87.7W,,,,,,1.40E+11,0.41
2/15/1997 15:23,35.5N,115.6E,,,,,,1.50E+11,0.43
1/23/1997 10:03,15.0S,94.2E,,,,,,2.70E+11,0.73
1/22/1997 21:13,32.2N,29.0E,,,,,,4.80E+11,1.2
1/4/1997 6:46,25.7N,5.3W,,,,,,4.30E+10,0.14
12/17/1996 4:16,34.1N,37.2W,,,,,,4.10E+10,0.14
10/30/1996 12:48,2.1S,123.1W,,,,,,2.10E+10,0.076
10/28/1996 4:46,27.4N,79.4W,,,,,,4.30E+10,0.14
10/23/1996 8:28,47.3S,20.6E,,,,,,4.40E+10,0.15
10/19/1996 19:01,29.7N,34.7W,,,,,,1.30E+11,0.38
10/5/1996 19:21,49.6S,145.9E,,,,,,2.50E+11,0.68
7/17/1996 3:16,31.8N,111.4E,,,,,,5.00E+10,0.16
7/12/1996 14:04,20.7N,93.6W,,,,,,3.20E+10,0.11
3/30/1996 4:03,31.1S,84.3W,,,,,,1.20E+11,0.36
3/29/1996 20:30,21.5N,158.1W,,,,,,1.28E+11,0.38
2/15/1996 2:38,76.0N,127.0W,,,,,,5.00E+10,0.16
1/15/1996 13:44,59.8S,175.8E,,,,,,2.60E+11,0.71
12/22/1995 13:26,70.2S,73.3W,,,,,,4.50E+11,1.1
12/9/1995 19:54,2.9S,79.0W,,,,,,1.20E+11,0.36
8/5/1995 17:14,11.6N,104.3W,,,,,,2.00E+11,0.56
7/11/1995 18:38,28.5S,93.3E,,,,,,1.30E+11,0.38
7/9/1995 18:20,0.9S,66.3E,,,,,,2.50E+10,0.089
7/7/1995 17:33,40.2N,76.1W,,,,,,1.40E+11,0.41
2/16/1995 13:05,16.7N,141.7W,,,,,,6.00E+10,0.19
1/18/1995 10:17,51.5N,115.4E,,,,,,7.00E+10,0.22
12/16/1994 9:41,42.2S,27.6E,,,,,,5.00E+10,0.16
11/3/1994 20:01,6.5N,89.0E,,,,,,2.35E+12,5
11/1/1994 6:50,1.5S,84.5W,,,,,,1.00E+12,2.3
10/20/1994 0:11,45.2S,1.9W,,,,,,8.70E+10,0.27
6/15/1994 0:02,45.0N,73.5W,,,,,,4.10E+10,0.14
5/29/1994 9:30,52.8N,2.3E,,,,,,3.84E+11,1
2/1/1994 22:38,2.7N,164.1E,,,,,,1.82E+13,30
11/29/1993 17:48,26.5N,78.3E,,,,,,2.60E+10,0.092
10/31/1993 3:39,51.3N,100.9W,,,,,,4.00E+10,0.13
10/4/1991 9:22,78.7N,6.3E,,,,,,5.50E+11,1.4
10/1/1990 3:51,7.5N,142.8E,,,,,,2.50E+12,5.2
