,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
78,2019,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,40000000000,0.13
79,2019,24.4S,92.9W,30.2,,,,,20000000000,0.073
80,2019,38.9N,7.0E,36,14.9,-3.9,4,-13.8,25000000000,0.089
81,2019,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,2.55E+11,0.69
82,2019,21.2N,129.5W,59,42.3,25.2,31.2,-13.3,32000000000,0.11
83,2019,2.5S,168.7E,,,,,,21000000000,0.076
84,2019,14.9N,66.2W,25,14.9,-13.4,6,2.5,2.95E+12,6
85,2019,7.3N,67.6W,37,,,,,28000000000,0.098
86,2019,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,42000000000,0.14
87,2019,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,49000000000,0.16
88,2019,10.8N,37.3W,32.6,,,,,95000000000,0.29
89,2019,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,6.56E+11,1.6
90,2019,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,33000000000,0.11
91,2019,6.2N,57.1W,,,,,,21000000000,0.076
92,2019,28.4N,88.3W,26.5,,,,,22000000000,0.079
93,2019,48.8S,67.8E,33.3,11.4,3.4,-4.2,10,1.24E+11,0.37
94,2019,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,29000000000,0.1
95,2019,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,70000000000,0.22
96,2019,35.3N,93.9W,,,,,,28000000000,0.098
97,2019,41.8S,7.4W,,,,,,22000000000,0.079
98,2019,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,20000000000,0.073
99,2019,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,46000000000,0.15
100,2019,15.5S,25.3E,26,20.8,-16.6,-12.6,0.6,1.96E+12,4.2
101,2019,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,5.79E+11,1.4
102,2019,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5,36000000000,0.12
103,2018,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,89000000000,0.27
104,2018,56.9N,172.4E,26,13.6,6.3,-3,-31.2,3.13E+13,49
105,2018,25.3N,6.7W,27.4,17.4,-10.1,13.9,3,4.22E+11,1.1
106,2018,47.3N,172.9W,32.5,19.1,7.6,17.3,-2.7,2.2E+11,0.61
107,2018,42N,57W,,,,,,20000000000,0.073
108,2018,37.6S,83.5E,37,,,,,38000000000,0.13
109,2018,6.7S,148.6W,33.3,,,,,47000000000,0.16
110,2018,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,38000000000,0.13
111,2018,23.5S,56.8E,33,16.5,-16.2,2.8,0.6,8.06E+11,1.9
112,2018,34.3S,44.9E,40.7,12.5,-11,2.5,-5.5,53000000000,0.17
113,2018,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,83000000000,0.26
114,2018,6.8S,27.8W,,,,,,1.5E+11,0.43
115,2018,42.5N,50.1W,,,,,,42000000000,0.14
116,2018,1.7S,141.4E,33,16.1,9.8,-9.6,-8.4,24000000000,0.086
117,2018,39.2S,162.9W,37,,,,,22000000000,0.079
118,2018,58.8S,105.8E,32,,,,,1.05E+11,0.32
119,2018,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,8.77E+11,2.1
120,2018,82.5N,136.7W,,,,,,2.11E+11,0.59
121,2018,32.0N,12.1E,63,14.1,-10,-1,-9.9,29000000000,0.1
122,2018,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1.22E+12,2.8
123,2018,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,3.75E+11,0.98
124,2018,6.5S,173.7E,34,,,,,1.93E+11,0.54
125,2018,32N,60.7W,,,,,,73000000000,0.23
126,2018,46.9N,7.5W,39,11.5,1.3,-2.1,-11.2,38000000000,0.13
127,2018,45.5S,1.4W,34,13.1,8.7,-9.5,2.5,30000000000,0.1
128,2018,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,36000000000,0.12
129,2018,7.5N,3.6E,30,20.9,-9.1,-2.5,18.6,72000000000,0.23
130,2018,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,5.12E+11,1.3
131,2018,72.4N,78.7W,31.5,,,,,86000000000,0.27
132,2018,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,71000000000,0.22
133,2018,43.8S,1.1W,50.7,,,,,27000000000,0.095
134,2018,15.9S,58.9W,,,,,,39000000000,0.13
135,2018,42.9N,179.7E,43.5,,,,,2.59E+11,0.7
136,2018,19.4S,104.3E,37,16.5,8.1,-8.4,-11.7,1.9E+11,0.53
137,2018,14.0N,17.4W,,,,,,32000000000,0.11
138,2018,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,1.99E+11,0.56
139,2018,55.8N,52.5E,26,21,0.8,2.2,-20.9,28000000000,0.098
140,2018,39.5S,12.8E,26,,,,,36000000000,0.12
141,2017,63.5S,101.3W,64.5,,,,,44000000000,0.15
142,2017,14.6N,49.5W,38,,,,,1.1E+11,0.33
143,2017,60.2N,170.0E,20,31.4,27.8,-4.7,-13.9,3.11E+12,6.4
144,2017,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,28000000000,0.098
145,2017,21.3S,177.6E,42.5,,,,,5.58E+11,1.4
