,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
350,2011,33.3N,125.8W,48,,,,,29000000000,0.1
351,2010,38.0N,158.0E,26,18.1,18,-2,-4,2E+13,33
352,2010,4.9S,175.5E,24,,,,,39000000000,0.13
353,2010,54.5S,169.7W,66,,,,,63000000000,0.2
354,2010,72.5S,144.9E,33.3,,,,,1.33E+11,0.39
355,2010,1.9N,143.3E,50,,,,,81000000000,0.25
356,2010,10.3S,148.8E,30,,,,,33000000000,0.11
357,2010,74.5N,77.7W,,,,,,68000000000,0.22
358,2010,56.3S,16.7W,37,,,,,86000000000,0.27
359,2010,14.0S,160.0W,26,,,,,20000000000,0.073
360,2010,14.1S,67.7E,35.2,,,,,1.45E+11,0.42
361,2010,67.4S,50.6W,,,,,,50000000000,0.16
362,2010,7.4N,36.7E,,,,,,67000000000,0.21
363,2010,13.9S,65.5W,46.3,,,,,65000000000,0.21
364,2010,25.9S,49.0E,35.2,,,,,6.83E+11,1.7
365,2010,61.0S,146.7E,33.3,12.3,9.8,-3.5,6.5,1.75E+12,3.8
366,2010,20.7N,114.3W,33.3,,,,,21000000000,0.076
367,2010,60.9N,178.1W,,,,,,24000000000,0.086
368,2010,34.1S,174.5W,26,15.7,12.1,10,0.2,7.56E+12,14
369,2010,0.5S,133.2E,50,,,,,1.13E+11,0.34
370,2010,22.5S,120.9W,,,,,,1.63E+11,0.47
371,2010,26.1S,100.0E,42,,,,,1.19E+11,0.35
372,2010,13.1N,173.0W,,,,,,56000000000,0.18
373,2010,1.8N,176.9W,22.2,18.8,12.4,-13.2,-5.2,8.44E+11,2
374,2010,52.8N,146.5W,,,,,,80000000000,0.25
375,2010,32.4S,51.8W,,,,,,1.75E+11,0.5
376,2010,33.8N,90.2W,35.6,,,,,42000000000,0.14
377,2010,18.2N,110.1E,53,,,,,30000000000,0.1
378,2010,32.0N,92.9W,52,24.5,19.1,11,10.7,3.23E+11,0.85
379,2010,48.7N,21.0E,37,15.1,-11.7,2.7,-9.1,1.53E+11,0.44
380,2010,37.3S,166.0W,,,,,,2.37E+11,0.65
381,2010,2.6S,102.2W,,,,,,93000000000,0.28
382,2010,8.3S,27.0E,25,14,-9.1,6,8.8,4.92E+11,1.2
383,2009,37.9N,178.3W,20.7,,,,,1.02E+11,0.31
384,2009,52.8S,136.5E,,,,,,64000000000,0.2
385,2009,22.0S,29.2E,38,32.1,3,-17,27,1E+13,18
386,2009,40.4N,113.2W,31.5,,,,,7.36E+11,1.8
387,2009,45.5N,157.7W,,,,,,22000000000,0.079
388,2009,24.0N,64.1E,37,,,,,42000000000,0.14
389,2009,78.3S,70.2E,27.8,,,,,71000000000,0.22
390,2009,4.2S,120.6E,19.1,19.2,14,-16,-6,2E+13,33
391,2009,36.0S,67.6W,37,,,,,89000000000,0.27
392,2009,7.7N,29.5W,,,,,,1.44E+11,0.42
393,2009,42.5N,110.0E,28.3,24,19.2,-11.6,-8.5,9.65E+11,2.3
394,2009,67.7S,18.3E,34,12.2,-6.9,5.3,8.5,2.8E+11,0.75
395,2009,8.9N,121.9W,,,,,,25000000000,0.089
396,2009,24.4S,59.8W,32.2,,,,,7.27E+11,1.8
397,2009,26.6S,12.6W,26.1,15.2,-11.6,1.6,9.7,32000000000,0.11
398,2009,23.7S,16.0W,57.4,,,,,33000000000,0.11
399,2009,54.9N,152.7W,34.2,,,,,2.81E+11,0.76
400,2009,19.7N,121.0W,,,,,,1.43E+11,0.42
401,2009,36.4N,160.4W,40.7,,,,,1.4E+11,0.41
402,2009,6.0N,84.3E,,,,,,22000000000,0.079
403,2009,44.7S,25.7E,32.4,19.1,-18.9,2.6,0.3,2.7E+11,0.73
404,2009,64.9S,70.0W,,,,,,50000000000,0.16
405,2009,56.6N,69.8E,40,15.4,-2.4,-1.9,-15.1,1.6E+12,3.5
406,2009,47.8N,44.3W,,,,,,48000000000,0.16
407,2009,64.0S,122.8E,26.5,,,,,23000000000,0.082
408,2008,68.9S,102.0W,21.1,24.1,-13.4,18,8.8,35000000000,0.12
409,2008,7.0S,9.7W,50,,,,,2.16E+11,0.6
410,2008,57.9S,146.1E,34.8,23.7,21.5,10,0.4,1.46E+11,0.42
411,2008,53.1N,109.9W,28.2,12.9,3.9,-4.1,-11.6,1.42E+11,0.41
412,2008,29.4S,75.9E,35.2,22.4,-4,-15.2,-16,25000000000,0.089
413,2008,14.5N,112.7E,29.6,,,,,2.22E+11,0.61
414,2008,32.8N,165.6W,29.6,11.3,9.6,5.8,1.5,46000000000,0.15
415,2008,57.3S,17.0E,21.4,,,,,1.8E+11,0.51
416,2008,20.9N,31.4E,38.9,13.3,-9,9,3.8,3.95E+11,1
417,2008,11.3N,97.2E,,,,,,1.31E+11,0.38
418,2008,11.6S,175.0W,,,,,,20000000000,0.073
419,2008,18.5N,180.0E,45.4,13.8,6.5,-12.1,1.7,41000000000,0.14
420,2008,38.6N,68.0E,31.5,14.5,-7.7,-8.2,-9.1,1.21E+11,0.36
421,2008,17.8S,89.2W,54.4,,,,,61000000000,0.2
422,2008,72.8N,147.3E,52.2,21.7,-12.9,1.9,-17.4,66000000000,0.21
423,2008,37.1N,115.7W,36.1,9.8,2.8,1.7,-9.2,36000000000,0.12
424,2008,26.9S,17.7W,33.7,23.1,-17.9,13,6.6,1.72E+11,0.49
425,2008,6.1N,103.1E,,,,,,21000000000,0.076
426,2008,15.7N,83.5W,,,,,,21000000000,0.076
427,2008,0.8N,162.0E,37,14.2,7.9,3.1,11.4,1.5E+11,0.43
428,2008,46.9N,134.5E,,,,,,21000000000,0.076
429,2008,33.6S,35.1W,,,,,,20000000000,0.073
430,2008,28.0N,41.5W,26.7,12.9,-4.1,4.8,-11.2,50000000000,0.16
431,2008,48.9N,119.8W,,,,,,20000000000,0.073
432,2008,74.9N,73.4W,40.4,13.9,-5.8,-10.7,-6.7,1.1E+11,0.33
433,2008,66.8S,67.3W,31.5,11.6,4.3,5.7,9.1,41000000000,0.14
434,2007,61.6S,158.9W,,,,,,1.36E+11,0.4
435,2007,51.3N,115.4E,,,,,,1.22E+11,0.36
436,2007,40.9S,91.3E,46.3,,,,,58000000000,0.19
437,2007,88.5N,116.6E,37,18.4,-4.5,-14.1,-10.9,33000000000,0.11
438,2007,35.2S,125.6E,,,,,,58000000000,0.19
439,2007,49.2S,85.5W,30.2,16.9,-9.2,13.6,3.8,2.37E+11,0.65
440,2007,23.4S,170.9W,35.2,17,16.7,-2.1,-2.2,49000000000,0.16
441,2007,52.0S,175.3E,38.9,,,,,2.35E+11,0.65
442,2007,21.9N,53.1E,29.6,,,,,31000000000,0.11
443,2007,4.5S,111.7E,,,,,,38000000000,0.13
444,2007,42.4S,164.0E,31.5,,,,,4E+11,1
445,2007,22.9N,109.4E,48,,,,,1.75E+11,0.5
446,2007,83.7S,171.2W,38,24.4,-5.3,-2.5,23.7,1.12E+11,0.33
447,2007,7.1N,4.1E,32.5,14.5,-7.3,-1.9,-12.4,40000000000,0.13
448,2007,44.1S,148.4W,,,,,,25000000000,0.089
449,2007,24.0N,37.2W,35.5,,,,,3.4E+11,0.89
450,2007,3.7N,99.7E,,,,,,1.47E+11,0.43
451,2007,45.4N,53.5E,32,13.4,-3.3,-12.8,-1.9,76000000000,0.24
452,2007,5.3N,164.3W,34.1,,,,,32000000000,0.11
453,2007,8.7S,50.8E,33.3,,,,,5.48E+11,1.4
454,2007,44.4N,116.5E,53,,,,,36000000000,0.12
455,2006,26.2N,26.0E,26.5,15.9,4.9,-15,1.6,7.41E+12,14
456,2006,14.0N,140.0W,,,,,,21000000000,0.076
457,2006,13.0S,30.7E,,,,,,63000000000,0.2
458,2006,44.0S,43.3E,,,,,,23000000000,0.082
459,2006,1.9S,2.7W,43,,,,,2.25E+11,0.62
460,2006,49.4N,175.0W,44.4,23.9,4.9,23.4,-1,2.58E+11,0.7
461,2006,47.0S,78.9E,22.2,,,,,41000000000,0.14
462,2006,23.0S,61.8W,40.7,,,,,41000000000,0.14
463,2006,14.0N,53.1E,42,,,,,90000000000,0.28
464,2006,32.0S,60.2E,48.1,,,,,1.07E+11,0.32
465,2006,29.0S,108.0W,,,,,,1.21E+11,0.36
466,2006,14.0S,109.1E,44.1,14.2,10,-9.9,1.5,1.23E+12,2.8
467,2006,44.0S,162.0W,40.7,,,,,92000000000,0.28
468,2006,43.0S,33.4E,47.2,,,,,32000000000,0.11
469,2006,11.0S,165.7E,48.2,,,,,2.56E+11,0.7
470,2006,4.9N,49.6E,32.7,,,,,47000000000,0.16
471,2006,23.1S,53.7E,37,,,,,1.02E+12,2.4
472,2006,78.3S,5.0W,29.6,12.4,0.1,2,12.2,85000000000,0.26
473,2006,31.1N,45.6E,38.9,30.2,9.2,-1.2,-28.7,1.63E+11,0.47
474,2006,69.2N,22.5E,40.7,19.6,6.1,4.6,-18,59000000000,0.19
475,2006,11.6S,25.5W,,,,,,2.63E+11,0.71
476,2006,60.2S,152.3W,35.2,,,,,1.28E+11,0.38
477,2006,17.3N,113.2W,33.3,,,,,1.27E+11,0.37
478,2006,26.6N,26.6W,25,,,,,2.4E+12,5
479,2006,7.0N,64.6W,35.2,,,,,1.44E+11,0.42
480,2006,54.5S,18.1E,35.2,,,,,1.19E+12,2.7
481,2006,36.9N,143.6W,38.9,19.8,-8.8,3.4,-17.4,1E+11,0.3
482,2006,51.7S,56.4E,37,18.7,8.4,-16.4,3.2,7.4E+11,1.8
483,2006,58.7N,74.7E,20,,,,,45000000000,0.15
484,2006,79.8S,111.0W,37,,,,,53000000000,0.17
485,2006,29.8N,12.7W,32.4,16.9,-9.9,-6.3,-12.2,28000000000,0.098
486,2006,7.6N,28.2W,,,,,,94000000000,0.29
487,2005,3.0S,154.9W,42.2,20.7,18.6,8.5,3.2,1.9E+11,0.53
488,2005,54.0S,17.3E,66,,,,,1.81E+11,0.51
489,2005,33.8S,117.4E,32.2,17,-12.1,-9.6,7.2,88000000000,0.27
490,2005,6.4S,155.8W,,,,,,32000000000,0.11
491,2005,7.6N,58.2W,59.3,,,,,32000000000,0.11
492,2005,26.3N,113.4W,32.4,,,,,25000000000,0.089
493,2005,21.4N,134.1W,29.6,,,,,42000000000,0.14
494,2005,31.0S,145.9E,30.7,13.8,13.5,-2.7,-0.7,73000000000,0.23
495,2005,33.9N,154.9W,68.5,,,,,32000000000,0.11
496,2005,22.9N,123.8W,74,,,,,67000000000,0.21
497,2005,36.3S,80.5W,16.7,,,,,1.38E+11,0.4
498,2005,2.8S,84.1W,53,,,,,22000000000,0.079
499,2005,11.6N,27.3E,33.3,,,,,25000000000,0.089
500,2005,13.5N,73.1E,,,,,,82000000000,0.25
501,2005,21.5S,56.2E,37,16.9,-16.3,4.3,1.4,25000000000,0.089
502,2005,49.8S,33.1E,50,,,,,31000000000,0.11
503,2005,47.9N,85.6E,,,,,,23000000000,0.082
504,2005,34.8N,90.9E,,,,,,41000000000,0.14
505,2005,31.0S,90.3W,29.6,26.2,-1.5,25.3,6.7,82000000000,0.25
506,2005,48.9S,145.1E,50.5,,,,,20000000000,0.073
507,2005,75.8S,163.7E,15.2,16.6,9.6,-9.7,9.4,26000000000,0.092
508,2005,17.7N,36.0E,,,,,,46000000000,0.15
509,2005,20.9N,36.7W,37,,,,,22000000000,0.079
510,2005,50.2S,146.4W,38.5,16.8,9.3,13.8,2.5,2.32E+11,0.64
511,2005,43.8S,73.9W,39,,,,,21000000000,0.076
512,2005,4.9N,176.0W,26.5,,,,,71000000000,0.22
513,2005,34.2S,95.7W,37,,,,,1.06E+11,0.32
514,2005,42.7S,154.6E,70,,,,,29000000000,0.1
515,2005,1.0S,112.4E,59.2,,,,,2.19E+11,0.61
516,2005,14.1N,169.7E,27.2,,,,,2.04E+11,0.57
517,2005,42.8N,36.2W,,,,,,38000000000,0.13
518,2005,9.7S,34.7W,33,,,,,27000000000,0.095
519,2005,21.4S,157.9W,44.4,,,,,53000000000,0.17
520,2005,14.3N,142.7E,30.7,,,,,40000000000,0.13
521,2005,48.0N,161.5W,42.5,,,,,1E+11,0.3
522,2005,27.5S,164.9W,40.7,,,,,1.41E+11,0.41
523,2005,21.3S,154.7E,35.2,21.5,20.2,-3.3,6.6,1.19E+11,0.35
524,2005,32.7N,12.4E,31.8,,,,,4.54E+11,1.2
525,2004,8.5S,171.8E,,,,,,90000000000,0.28
526,2004,9.7S,155.3E,,,,,,39000000000,0.13
527,2004,36.0N,104.1E,,,,,,30000000000,0.1
528,2004,61.0N,171.0W,,,,,,1.81E+11,0.51
529,2004,27.3S,71.5E,35,19.2,-15.3,1,11.6,1.04E+13,18
530,2004,3.7N,150.9W,,,,,,71000000000,0.22
531,2004,0.2N,101.1W,,,,,,62000000000,0.2
532,2004,67.7S,18.2E,31.5,,,,,7.26E+12,13
533,2004,51.9S,22.7E,37,,,,,1.44E+12,3.2
534,2004,21.7N,175.3E,,,,,,1.04E+11,0.31
535,2004,1.3N,174.4W,43,19.5,9.4,17,-1.5,1.81E+12,3.9
536,2004,48.9N,120.4W,,,,,,54000000000,0.18
537,2004,28.1S,47.4W,,,,,,3.94E+11,1
538,2004,18.9S,28.3E,44,,,,,55000000000,0.18
539,2004,15.2S,55.1E,,,,,,1.39E+11,0.41
540,2004,44.3S,83.3E,29.6,16.3,8.5,-12.1,-6.8,6.24E+11,1.5
541,2004,12.0S,162.8E,35,25.6,10.5,-23.2,-2.9,4.33E+11,1.1
542,2004,7.6S,155.1E,46,,,,,24000000000,0.086
543,2004,4.8S,21.0E,,,,,,21000000000,0.076
544,2004,18.3S,52.3E,,,,,,30000000000,0.1
545,2004,50.6S,157.8E,37,,,,,2.32E+11,0.64
546,2004,28.2S,3.2E,63,,,,,1.34E+11,0.39
547,2003,67.1S,90.8W,,,,,,6.43E+11,1.6
548,2003,22.9S,22.7E,32,,,,,35000000000,0.12
549,2003,64.5S,136.2E,23,20.1,14.8,-8.7,10.4,5.18E+11,1.3
550,2003,51.4S,151.7E,,,,,,73000000000,0.23
551,2003,21.0N,86.6E,26,18.2,-1,-5.4,-17.3,2.15E+12,4.6
552,2003,51.3N,161.0W,,,,,,3.85E+11,1
553,2003,39.0S,34.0E,,,,,,6.47E+11,1.6
554,2003,41.8S,122.9E,,,,,,32000000000,0.11
555,2003,5.2N,166.2E,,,,,,68000000000,0.22
556,2003,54.0N,80.4W,,,,,,43000000000,0.14
557,2003,14.8N,64.5E,17,,,,,1.75E+11,0.5
558,2003,18.4S,162.6E,,,,,,22000000000,0.079
559,2003,41.4N,87.7W,45,,,,,1.42E+11,0.41
560,2003,40.0N,116.0E,,,,,,33000000000,0.11
561,2003,31.5S,107.5E,,,,,,1.2E+11,0.36
562,2003,62.9S,113.9W,,,,,,1.97E+11,0.55
563,2003,59.9S,41.0E,,,,,,1.35E+11,0.4
564,2002,1.4S,154.0W,,,,,,2.4E+11,0.66
565,2002,21.1S,6.8W,,,,,,43000000000,0.14
566,2002,16.0N,166.0W,,,,,,4.6E+11,1.2
567,2002,4.3S,175.9W,,,,,,49000000000,0.16
568,2002,57.9N,112.9E,,,,,,8.6E+11,2
569,2002,6.9S,126.2W,,,,,,90000000000,0.28
570,2002,18.2S,159.4E,,,,,,1.51E+12,3.3
571,2002,28.7S,47.0E,,,,,,2.3E+11,0.63
572,2002,34.0N,106.1E,,,,,,53000000000,0.17
573,2002,24.9S,111.4E,,,,,,1.91E+11,0.54
574,2002,34.0N,21.0E,,,,,,4.5E+12,8.8
575,2002,5.3S,27.1E,,,,,,1.82E+11,0.51
576,2002,60.4S,120.5W,,,,,,20000000000,0.073
577,2002,6.9N,147.3W,,,,,,2.49E+11,0.68
578,2002,37.5N,154.0E,,,,,,82000000000,0.25
579,2002,29.2N,66.8W,,,,,,38000000000,0.13
580,2002,17.7S,138.7E,,,,,,70000000000,0.22
581,2002,60.7N,116.6E,,,,,,70000000000,0.22
582,2002,48.4N,165.0W,,,,,,1.04E+11,0.31
583,2001,52.7N,3.8E,,,,,,36000000000,0.12
584,2001,0.4N,84.8E,,,,,,3.26E+11,0.86
585,2001,41.0N,77.0W,,,,,,1.24E+12,2.8
586,2001,28.0N,133.6W,29,,,,,4.6E+12,9
587,2001,15.3S,162.4E,,,,,,2.51E+11,0.68
588,2001,64.0S,97.3E,,,,,,1.51E+11,0.44
589,2001,66.0N,31.3E,,,,,,1.08E+11,0.32
590,2000,41.3N,95.2E,,,,,,2.62E+11,0.71
591,2000,50.4N,58.9E,,,,,,27000000000,0.095
592,2000,13.6S,5.8W,,,,,,66000000000,0.21
593,2000,52.0S,22.2W,,,,,,69000000000,0.22
594,2000,31.7S,5.5W,,,,,,81000000000,0.25
595,2000,58.5S,142.6E,,,,,,22000000000,0.079
596,2000,3.2S,133.8W,,,,,,89000000000,0.27
597,2000,14.5N,106.1W,,,,,,1.39E+12,3.1
598,2000,36.7N,127.8W,,,,,,65000000000,0.21
599,2000,50.2S,101.9W,,,,,,1.82E+11,0.51
600,2000,15.7N,138.5W,,,,,,38000000000,0.13
601,2000,17.7S,94.1E,,,,,,1.07E+11,0.32
602,2000,15.0N,140.7E,,,,,,65000000000,0.21
603,2000,34.9N,36.8E,,,,,,27000000000,0.095
604,2000,69.2N,44.0W,,,,,,20000000000,0.073
605,2000,32.9N,159.0E,,,,,,30000000000,0.1
606,2000,28.1N,107.3E,48,,,,,1.45E+11,0.42
607,2000,36.8N,74.8W,,,,,,30000000000,0.1
608,2000,27.5S,18.9W,,,,,,30000000000,0.1
609,2000,49.9N,18.4E,,,,,,28000000000,0.098
610,2000,5.0S,73.0E,,,,,,59000000000,0.19
611,2000,1.0N,98.3E,,,,,,63000000000,0.2
612,2000,58.0N,175.0E,,,,,,9.6E+11,2.2
613,2000,0.9S,109.2E,,,,,,3.62E+12,7.3
614,2000,14.2N,115.9E,,,,,,22000000000,0.079
615,2000,60.3N,134.6W,,,,,,1.05E+12,2.4
616,2000,24.3N,94.9W,,,,,,35000000000,0.12
617,1999,26.5S,11.3W,,,,,,67000000000,0.21
618,1999,8.1S,75.4E,,,,,,74000000000,0.23
619,1999,2.3S,77.4W,,,,,,89000000000,0.27
620,1999,13.7N,70.8W,,,,,,86000000000,0.27
621,1999,22.4N,0.2E,,,,,,28000000000,0.098
622,1999,32.5N,104.6E,32,,,,,90000000000,0.28
623,1999,35.0N,107.2W,,,,,,36000000000,0.12
624,1999,64.7S,18.8W,,,,,,3.56E+11,0.93
625,1999,37.8S,39.6E,52,,,,,3.26E+11,0.86
626,1999,39.5S,174.4E,,,,,,1.4E+11,0.41
627,1999,50.0N,121.0E,69,,,,,1.24E+11,0.37
628,1999,16.4S,116.3W,,,,,,26000000000,0.092
629,1999,22.5S,6.5E,,,,,,92000000000,0.28
630,1999,32.8S,159.1E,,,,,,33000000000,0.11
631,1999,17.9S,22.6E,,,,,,2.34E+11,0.64
632,1999,0.8N,97.6E,,,,,,3.04E+11,0.81
633,1999,18.9N,50.5E,,,,,,59000000000,0.19
634,1999,54.9S,64.6W,,,,,,1.54E+11,0.44
635,1999,80.0N,154.2E,,,,,,28000000000,0.098
636,1999,7.9N,85.8E,,,,,,24000000000,0.086
637,1999,44.0S,129.7W,32,,,,,5.06E+12,9.8
638,1999,47.0N,103.0E,65,,,,,35000000000,0.12
639,1998,82.3N,160.1E,,,,,,25000000000,0.089
640,1998,6.5N,156.4E,,,,,,6.56E+11,1.6
641,1998,34.6N,23.6E,,,,,,24000000000,0.086
642,1998,1.4N,26.6E,,,,,,1.4E+11,0.41
643,1998,35.1S,33.4E,30,17.1,6,-10.6,12,74000000000,0.23
644,1997,23.1S,152.4E,,,,,,31000000000,0.11
645,1997,62.7N,49.9W,,,,,,2.7E+11,0.73
646,1997,57.3S,167.2E,,,,,,8E+11,1.9
647,1997,31.8N,106.0W,37,,,,,1.9E+11,0.53
648,1997,46.7N,108.9E,,,,,,62000000000,0.2
649,1997,38.1S,63.9E,,,,,,23000000000,0.082
650,1997,31.1S,56.4E,,,,,,1.9E+11,0.53
651,1997,15.8S,175.8W,,,,,,27000000000,0.095
652,1997,16.7N,87.5E,,,,,,3.25E+11,0.86
653,1997,16.3S,87.7W,,,,,,1.4E+11,0.41
654,1997,35.5N,115.6E,,,,,,1.5E+11,0.43
655,1997,15.0S,94.2E,,,,,,2.7E+11,0.73
656,1997,32.2N,29.0E,,,,,,4.8E+11,1.2
657,1997,25.7N,5.3W,,,,,,43000000000,0.14
658,1996,34.1N,37.2W,,,,,,41000000000,0.14
659,1996,2.1S,123.1W,,,,,,21000000000,0.076
660,1996,27.4N,79.4W,,,,,,43000000000,0.14
661,1996,47.3S,20.6E,,,,,,44000000000,0.15
662,1996,29.7N,34.7W,,,,,,1.3E+11,0.38
663,1996,49.6S,145.9E,,,,,,2.5E+11,0.68
664,1996,31.8N,111.4E,,,,,,50000000000,0.16
665,1996,20.7N,93.6W,,,,,,32000000000,0.11
666,1996,31.1S,84.3W,,,,,,1.2E+11,0.36
667,1996,21.5N,158.1W,,,,,,1.28E+11,0.38
668,1996,76.0N,127.0W,,,,,,50000000000,0.16
669,1996,59.8S,175.8E,,,,,,2.6E+11,0.71
670,1995,70.2S,73.3W,,,,,,4.5E+11,1.1
671,1995,2.9S,79.0W,,,,,,1.2E+11,0.36
672,1995,11.6N,104.3W,,,,,,2E+11,0.56
673,1995,28.5S,93.3E,,,,,,1.3E+11,0.38
674,1995,0.9S,66.3E,,,,,,25000000000,0.089
675,1995,40.2N,76.1W,,,,,,1.4E+11,0.41
676,1995,16.7N,141.7W,,,,,,60000000000,0.19
677,1995,51.5N,115.4E,,,,,,70000000000,0.22
678,1994,42.2S,27.6E,,,,,,50000000000,0.16
679,1994,6.5N,89.0E,,,,,,2.35E+12,5
680,1994,1.5S,84.5W,,,,,,1E+12,2.3
681,1994,45.2S,1.9W,,,,,,87000000000,0.27
682,1994,45.0N,73.5W,,,,,,41000000000,0.14
683,1994,52.8N,2.3E,,,,,,3.84E+11,1
684,1994,2.7N,164.1E,,,,,,1.82E+13,30
685,1993,26.5N,78.3E,,,,,,26000000000,0.092
686,1993,51.3N,100.9W,,,,,,40000000000,0.13
687,1991,78.7N,6.3E,,,,,,5.5E+11,1.4
688,1990,7.5N,142.8E,,,,,,2.5E+12,5.2
